image_path,tier,tier_score,normalized_dept,anchor_group,university,work_type,post_no
data/crawled/raw_images/301_0.jpeg,S,98,design_general,서울대_design_general,서울대,재현작,301
data/crawled/raw_images/2479_0.jpg,A,80.7,visual_design,중앙대_visual_design,중앙대,재현작,2479
data/crawled/raw_images/3624_0.jpg,B,65.5,design_general,한성대_design_general,한성대,재현작,3624
data/crawled/raw_images/2430_0.jpg,B,55.7,animation,청강대_animation,청강대,평소작,2430
data/crawled/raw_images/1701_0.jpg,C,49.4,industrial_design,서경대_industrial_design,서경대,평소작,1701
data/crawled/raw_images/2221_0.jpg,B,62.2,craft,동덕여대_craft,동덕여대,평소작,2221
data/crawled/raw_images/3849_0.jpeg,A,78.1,fine_art,성신여대_fine_art,성신여대,평소작,3849
data/crawled/raw_images/2763_0.jpg,B,53.4,visual_design,단국대_visual_design,단국대,평소작,2763
data/crawled/raw_images/3169_0.jpg,B,48.1,visual_design,숙명여대_visual_design,숙명여대,재현작,3169
data/crawled/raw_images/523_0.jpg,A,66.2,visual_design,국민대_visual_design,국민대,재현작,523
data/crawled/raw_images/1543_0.jpg,C,47.8,industrial_design,서경대_industrial_design,서경대,재현작,1543
data/crawled/raw_images/574_0.jpg,A,72.0,fine_art,이화여대_fine_art,이화여대,재현작,574
data/crawled/raw_images/328_0.png,A,76.5,fine_art,이화여대_fine_art,이화여대,재현작,328
data/crawled/raw_images/3321_0.jpeg,A,80.2,fine_art,중앙대_fine_art,중앙대,평소작,3321
data/crawled/raw_images/1820_0.jpg,B,51.5,animation,청강대_animation,청강대,평소작,1820
data/crawled/raw_images/866_0.jpg,C,32.3,design_general,인천가톨릭대_design_general,인천가톨릭대,평소작,866
data/crawled/raw_images/1005_0.jpg,B,67.0,visual_design,동덕여대_visual_design,동덕여대,재현작,1005
data/crawled/raw_images/215_0.png,A,72.1,industrial_design,중앙대_industrial_design,중앙대,재현작,215
data/crawled/raw_images/2812_0.jpg,B,56.6,animation,청강대_animation,청강대,평소작,2812
