image_path_1,image_path_2,label,tier_score_1,tier_score_2,score_gap,pair_type,dept,quality_tier
data/crawled/raw_images/3504_0.jpg,data/crawled/raw_images/625_0.jpg,1,80.5,66.5,14.0,cross_dept,design_general_vs_fine_art,0
data/crawled/raw_images/762_0.jpg,data/crawled/raw_images/315_0.jpg,1,77.3,71.7,5.599999999999994,cross_dept,fine_art_vs_design_general,0
data/crawled/raw_images/1444_0.jpg,data/crawled/raw_images/1178_0.jpg,-1,66.0,90.0,24.0,same_dept,fine_art,1
data/crawled/raw_images/2113_0.jpg,data/crawled/raw_images/1400_0.jpg,1,83.5,55.0,28.5,cross_dept,fine_art_vs_industrial_design,0
data/crawled/raw_images/261_0.png,data/crawled/raw_images/3113_0.jpg,1,77.6,67.8,9.799999999999997,cross_dept,visual_design_vs_craft,0
data/crawled/raw_images/2507_0.jpg,data/crawled/raw_images/2750_0.jpg,1,79.9,71.8,8.100000000000009,cross_dept,interior_vs_sculpture,0
data/crawled/raw_images/293_0.jpg,data/crawled/raw_images/1128_0.jpg,1,77.4,62.0,15.400000000000006,cross_dept,industrial_design_vs_fashion,0
data/crawled/raw_images/888_0.jpeg,data/crawled/raw_images/3738_0.jpg,1,65.2,58.8,6.400000000000006,cross_dept,visual_design_vs_design_general,0
data/crawled/raw_images/3795_0.jpg,data/crawled/raw_images/1467_0.jpeg,-1,63.2,72.0,8.799999999999997,same_dept,visual_design,3
data/crawled/raw_images/648_0.jpg,data/crawled/raw_images/1914_0.jpg,-1,55.0,93.8,38.8,same_dept,fine_art,1
data/crawled/raw_images/3894_0.jpg,data/crawled/raw_images/2899_0.jpg,1,63.7,54.1,9.600000000000001,same_dept,animation,3
data/crawled/raw_images/3780_0.jpeg,data/crawled/raw_images/3180_0.jpg,1,59.2,49.6,9.600000000000001,cross_dept,visual_design_vs_sculpture,0
data/crawled/raw_images/643_0.jpg,data/crawled/raw_images/1740_0.jpg,1,72.0,57.9,14.100000000000001,same_dept,fine_art,1
data/crawled/raw_images/2191_0.jpg,data/crawled/raw_images/2396_0.jpg,1,77.5,47.1,30.4,cross_dept,visual_design_vs_design_general,0
data/crawled/raw_images/3815_0.jpg,data/crawled/raw_images/1441_0.jpg,-1,66.3,71.7,5.400000000000006,same_dept,visual_design,3
data/crawled/raw_images/264_0.png,data/crawled/raw_images/2343_0.jpg,1,67.3,57.8,9.5,cross_dept,fine_art_vs_design_general,0
data/crawled/raw_images/2163_0.jpg,data/crawled/raw_images/2122_0.jpg,1,71.5,51.9,19.6,cross_dept,design_general_vs_craft,0
data/crawled/raw_images/200_0.png,data/crawled/raw_images/2780_0.jpg,1,67.8,36.3,31.5,same_dept,visual_design,3
data/crawled/raw_images/1605_0.jpg,data/crawled/raw_images/896_0.jpg,1,68.8,49.3,19.5,same_dept,sculpture,1
data/crawled/raw_images/3594_0.jpg,data/crawled/raw_images/2100_0.jpg,1,68.7,60.7,8.0,cross_dept,design_general_vs_visual_design,0
data/crawled/raw_images/2897_0.jpg,data/crawled/raw_images/1985_0.jpg,-1,67.5,74.6,7.099999999999994,same_dept,industrial_design,3
data/crawled/raw_images/546_0.jpg,data/crawled/raw_images/2079_0.jpg,1,56.8,51.3,5.5,cross_dept,visual_design_vs_craft,0
data/crawled/raw_images/2915_0.png,data/crawled/raw_images/3266_0.jpg,1,65.7,51.8,13.900000000000006,cross_dept,design_general_vs_visual_design,0
data/crawled/raw_images/1050_0.jpg,data/crawled/raw_images/1000_0.jpg,1,69.6,40.4,29.199999999999996,cross_dept,visual_design_vs_design_general,0
data/crawled/raw_images/765_0.jpg,data/crawled/raw_images/3639_0.jpg,1,75.4,64.2,11.200000000000003,same_dept,fine_art,1
data/crawled/raw_images/1089_0.jpg,data/crawled/raw_images/3156_0.jpg,1,65.3,40.8,24.5,cross_dept,fine_art_vs_visual_design,0
data/crawled/raw_images/3550_0.jpg,data/crawled/raw_images/561_0.jpg,1,73.9,56.5,17.400000000000006,cross_dept,fine_art_vs_interior,0
data/crawled/raw_images/3243_0.png,data/crawled/raw_images/335_0.png,1,88.8,53.3,35.5,cross_dept,fine_art_vs_visual_design,0
data/crawled/raw_images/2286_0.jpg,data/crawled/raw_images/2421_0.jpg,1,67.7,48.4,19.300000000000004,cross_dept,visual_design_vs_design_general,0
data/crawled/raw_images/1444_0.jpg,data/crawled/raw_images/1919_0.jpg,1,66.0,49.2,16.799999999999997,cross_dept,fine_art_vs_sculpture,0
data/crawled/raw_images/250_0.png,data/crawled/raw_images/3204_0.jpg,-1,60.0,80.0,20.0,same_dept,industrial_design,3
data/crawled/raw_images/1403_0.jpg,data/crawled/raw_images/2462_0.jpg,-1,55.0,81.5,26.5,same_dept,visual_design,1
data/crawled/raw_images/1890_0.jpg,data/crawled/raw_images/1156_0.jpg,-1,63.6,80.4,16.800000000000004,same_dept,industrial_design,1
data/crawled/raw_images/3039_0.png,data/crawled/raw_images/2134_0.jpg,1,80.7,63.4,17.300000000000004,cross_dept,industrial_design_vs_design_general,0
data/crawled/raw_images/3604_0.jpg,data/crawled/raw_images/2767_0.jpg,1,70.0,52.6,17.4,same_dept,design_general,3
data/crawled/raw_images/2351_0.jpg,data/crawled/raw_images/3087_0.jpeg,1,63.5,48.8,14.700000000000003,cross_dept,craft_vs_interior,0
data/crawled/raw_images/998_0.jpg,data/crawled/raw_images/200_0.png,-1,52.8,67.8,15.0,same_dept,visual_design,3
data/crawled/raw_images/3547_0.jpg,data/crawled/raw_images/1141_0.jpg,1,87.5,41.9,45.6,cross_dept,design_general_vs_industrial_design,0
data/crawled/raw_images/479_0.jpg,data/crawled/raw_images/1150_0.jpg,1,62.8,41.2,21.599999999999994,cross_dept,fashion_vs_visual_design,0
data/crawled/raw_images/709_0.jpg,data/crawled/raw_images/319_0.jpg,1,57.3,50.0,7.299999999999997,cross_dept,craft_vs_interior,0
data/crawled/raw_images/3479_0.jpg,data/crawled/raw_images/3087_0.jpeg,1,57.4,48.8,8.600000000000001,same_dept,interior,3
